Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,470,-130.20625,180,bottom
C2,100n,C_0805_2012Metric,489.25,-119.75,0,bottom
C3,100n,C_0805_2012Metric,470,-119.75,180,bottom
C4,100n,C_0805_2012Metric,470,-128,180,bottom
C5,100n,C_0805_2012Metric,474.75,-114.25,90,bottom
C6,100n,C_0805_2012Metric,483.25,-133,-90,bottom
C7,18pF,C_0805_2012Metric,489.25,-124.5,180,bottom
C8,18pF,C_0805_2012Metric,489.25,-122.25,180,bottom
C9,100n,C_0805_2012Metric,442,-116.75,90,bottom
C10,100n,C_0805_2012Metric,439.5,-116.75,90,bottom
C11,1u,C_0805_2012Metric,480.5,-114.25,90,bottom
C12,100n,C_0805_2012Metric,418.49188,-124.107352,90,bottom
C13,10u,C_1210_3225Metric,456.5,-110.5,-90,bottom
C14,100n,C_0805_2012Metric,399.46388,-124.105352,90,bottom
C15,100n,C_0805_2012Metric,380.39188,-124.107352,90,bottom
C16,100n,C_0805_2012Metric,356.59208,-124.122552,90,bottom
C17,100n,C_0805_2012Metric,337.54208,-124.122552,90,bottom
C18,100n,C_0805_2012Metric,318.49208,-124.122552,90,bottom
C19,100n,C_0805_2012Metric,299.44208,-124.122552,90,bottom
C20,100n,C_0805_2012Metric,270.86708,-124.122552,90,bottom
C21,100n,C_0805_2012Metric,251.81708,-124.122552,90,bottom
C22,100n,C_0805_2012Metric,232.76708,-124.122552,90,bottom
C23,100n,C_0805_2012Metric,213.71708,-124.122552,90,bottom
C24,100n,C_0805_2012Metric,185.14208,-124.122552,90,bottom
C25,100n,C_0805_2012Metric,166.09208,-124.122552,90,bottom
C26,100n,C_0805_2012Metric,147.04208,-124.122552,90,bottom
C27,100n,C_0805_2012Metric,127.99208,-124.122552,90,bottom
C28,10u,C_1210_3225Metric,144.75,-132.5,0,bottom
C29,100n,C_0805_2012Metric,89.89208,-124.122552,90,bottom
C30,100n,C_0805_2012Metric,89.892768,-152.697528,-90,bottom
C31,100n,C_0805_2012Metric,108.942768,-152.697528,-90,bottom
C32,100n,C_0805_2012Metric,127.992768,-152.697528,-90,bottom
C33,100n,C_0805_2012Metric,147.042768,-152.697528,-90,bottom
C34,100n,C_0805_2012Metric,166.092768,-152.697528,-90,bottom
C35,100n,C_0805_2012Metric,185.142768,-152.697528,-90,bottom
C36,100n,C_0805_2012Metric,204.192768,-152.697528,-90,bottom
C37,100n,C_0805_2012Metric,223.242768,-152.697528,-90,bottom
C38,100n,C_0805_2012Metric,242.292768,-152.697528,-90,bottom
C39,100n,C_0805_2012Metric,261.342768,-152.697528,-90,bottom
C40,100n,C_0805_2012Metric,280.392768,-152.697528,-90,bottom
C41,100n,C_0805_2012Metric,299.442768,-152.697528,-90,bottom
C42,100n,C_0805_2012Metric,318.492768,-152.697528,-90,bottom
C43,10u,C_1210_3225Metric,340,-148.75,180,bottom
C44,100n,C_0805_2012Metric,347.067768,-152.697528,-90,bottom
C45,100n,C_0805_2012Metric,380.404768,-152.697528,-90,bottom
C46,100n,C_0805_2012Metric,399.454768,-152.697528,-90,bottom
C47,100n,C_0805_2012Metric,418.504768,-152.697528,-90,bottom
C48,100n,C_0805_2012Metric,442.316768,-152.697528,-90,bottom
C49,100n,C_0805_2012Metric,461.366768,-152.697528,-90,bottom
C50,100n,C_0805_2012Metric,480.416768,-152.697528,-90,bottom
C51,100n,C_0805_2012Metric,499.466768,-152.697528,-90,bottom
C52,100n,C_0805_2012Metric,499.169112,-182.165472,90,bottom
C53,100n,C_0805_2012Metric,480.416368,-171.747512,90,bottom
C54,100n,C_0805_2012Metric,461.366368,-171.747512,90,bottom
C55,100n,C_0805_2012Metric,442.316368,-171.747512,90,bottom
C56,100n,C_0805_2012Metric,418.504368,-171.747512,90,bottom
C57,100n,C_0805_2012Metric,399.454368,-171.747512,90,bottom
C58,10u,C_1210_3225Metric,404.75,-183.05844,180,bottom
C59,100n,C_0805_2012Metric,380.404368,-171.747512,90,bottom
C60,100n,C_0805_2012Metric,328.016608,-171.747512,90,bottom
C61,100n,C_0805_2012Metric,308.966608,-171.747512,90,bottom
C62,100n,C_0805_2012Metric,289.916608,-171.747512,90,bottom
C63,100n,C_0805_2012Metric,270.866608,-171.747512,90,bottom
C64,100n,C_0805_2012Metric,251.816608,-171.747512,90,bottom
C65,100n,C_0805_2012Metric,232.766608,-171.747512,90,bottom
C66,100n,C_0805_2012Metric,213.716608,-171.747512,90,bottom
C67,100n,C_0805_2012Metric,194.666608,-171.747512,90,bottom
C68,100n,C_0805_2012Metric,175.616608,-171.747512,90,bottom
C69,100n,C_0805_2012Metric,156.566608,-171.747512,90,bottom
C70,100n,C_0805_2012Metric,137.516608,-171.747512,90,bottom
C71,100n,C_0805_2012Metric,118.466608,-171.747512,90,bottom
C72,100n,C_0805_2012Metric,94.654608,-171.747512,90,bottom
C73,10u,C_1210_3225Metric,89,-182,90,bottom
C74,100n,C_0805_2012Metric,97.035408,-190.797496,-90,bottom
C75,100n,C_0805_2012Metric,123.229408,-190.797496,-90,bottom
C76,100n,C_0805_2012Metric,142.279408,-190.797496,-90,bottom
C77,100n,C_0805_2012Metric,161.329408,-190.797496,-90,bottom
C78,100n,C_0805_2012Metric,180.379408,-190.797496,-90,bottom
C79,100n,C_0805_2012Metric,199.429408,-190.797496,-90,bottom
C80,100n,C_0805_2012Metric,218.479408,-190.797496,-90,bottom
C81,100n,C_0805_2012Metric,237.529408,-190.797496,-90,bottom
C82,100n,C_0805_2012Metric,256.579408,-190.797496,-90,bottom
C83,100n,C_0805_2012Metric,275.629408,-190.797496,-90,bottom
C84,100n,C_0805_2012Metric,294.679408,-190.797496,-90,bottom
C85,100n,C_0805_2012Metric,313.729408,-190.797496,-90,bottom
C86,100n,C_0805_2012Metric,332.779408,-190.797496,-90,bottom
C87,100n,C_0805_2012Metric,354.21064,-181.272504,-90,bottom
C88,10u,C_1210_3225Metric,503,-190,90,bottom
C89,100n,C_0805_2012Metric,442.316816,-190.797496,-90,bottom
C90,100n,C_0805_2012Metric,461.3668,-190.797496,-90,bottom
C91,100n,C_0805_2012Metric,480.416784,-190.797496,-90,bottom
C92,100n,C_0805_2012Metric,499.466768,-219.372472,90,bottom
C93,100n,C_0805_2012Metric,480.416784,-209.84748,90,bottom
C94,100n,C_0805_2012Metric,461.366784,-209.84748,90,bottom
C95,100n,C_0805_2012Metric,442.316784,-209.84748,90,bottom
C96,100n,C_0805_2012Metric,399.454784,-209.84748,90,bottom
C97,100n,C_0805_2012Metric,339.923784,-209.84748,90,bottom
C98,100n,C_0805_2012Metric,304.204784,-209.84748,90,bottom
C99,100n,C_0805_2012Metric,285.154784,-209.84748,90,bottom
C100,100n,C_0805_2012Metric,266.104784,-209.84748,90,bottom
C101,100n,C_0805_2012Metric,247.054784,-209.84748,90,bottom
C102,100n,C_0805_2012Metric,228.004784,-209.84748,90,bottom
C103,10u,C_1210_3225Metric,217,-219,0,bottom
C104,100n,C_0805_2012Metric,208.954784,-209.84748,90,bottom
C105,100n,C_0805_2012Metric,189.904784,-209.84748,90,bottom
C106,100n,C_0805_2012Metric,170.854784,-209.84748,90,bottom
C107,100n,C_0805_2012Metric,151.804784,-209.84748,90,bottom
C108,100n,C_0805_2012Metric,132.754784,-209.84748,90,bottom
C109,100n,C_0805_2012Metric,113.704784,-209.84748,90,bottom
C110,100n,C_0805_2012Metric,92.273784,-209.84748,90,bottom
C111,100n,C_0805_2012Metric,89.892112,-228.897464,-90,bottom
C112,100n,C_0805_2012Metric,111.323112,-228.897464,-90,bottom
C113,100n,C_0805_2012Metric,135.135112,-228.897464,-90,bottom
C114,100n,C_0805_2012Metric,158.947112,-228.897464,-90,bottom
C115,100n,C_0805_2012Metric,228.003112,-228.897464,-90,bottom
C116,100n,C_0805_2012Metric,294.678112,-228.897464,-90,bottom
C117,100n,C_0805_2012Metric,316.109112,-228.897464,-90,bottom
C118,10u,C_1210_3225Metric,328.612224,-202.108424,90,bottom
C119,100n,C_0805_2012Metric,337.540112,-228.897464,-90,bottom
C120,100n,C_0805_2012Metric,356.590112,-228.897464,-90,bottom
C121,100n,C_0805_2012Metric,380.402112,-228.897464,-90,bottom
C122,100n,C_0805_2012Metric,399.452112,-228.897464,-90,bottom
C123,100n,C_0805_2012Metric,418.502112,-228.897464,-90,bottom
C124,100n,C_0805_2012Metric,451.839112,-228.897464,-90,bottom
C125,100n,C_0805_2012Metric,480.414112,-228.897464,-90,bottom
D1,D_Small,D_SOD-123,103.584288,-119.955368,90,bottom
D2,D_Small,D_SOD-123,141.684288,-119.955368,90,bottom
D3,D_Small,D_SOD-123,160.734288,-119.955368,90,bottom
D4,D_Small,D_SOD-123,179.784288,-119.955368,90,bottom
D5,D_Small,D_SOD-123,198.834288,-119.955368,90,bottom
D6,D_Small,D_SOD-123,227.409288,-119.955368,90,bottom
D7,D_Small,D_SOD-123,246.459288,-119.955368,90,bottom
D8,D_Small,D_SOD-123,265.509288,-119.955368,90,bottom
D9,D_Small,D_SOD-123,284.559288,-119.955368,90,bottom
D10,D_Small,D_SOD-123,313.134288,-119.955368,90,bottom
D11,D_Small,D_SOD-123,332.184288,-119.955368,90,bottom
D12,D_Small,D_SOD-123,351.234288,-119.955368,90,bottom
D13,D_Small,D_SOD-123,370.284288,-119.955368,90,bottom
D14,D_Small,D_SOD-123,394.096788,-119.955368,90,bottom
D15,D_Small,D_SOD-123,413.146788,-119.955368,90,bottom
D16,D_Small,D_SOD-123,432.196788,-119.955368,90,bottom
D17,D_Small,D_SOD-123,103.584096,-148.530344,90,bottom
D18,D_Small,D_SOD-123,122.634096,-148.530344,90,bottom
D19,D_Small,D_SOD-123,141.684096,-148.530344,90,bottom
D20,D_Small,D_SOD-123,160.734096,-148.530344,90,bottom
D21,D_Small,D_SOD-123,179.784096,-148.530344,90,bottom
D22,D_Small,D_SOD-123,198.834096,-148.530344,90,bottom
D23,D_Small,D_SOD-123,217.884096,-148.530344,90,bottom
D24,D_Small,D_SOD-123,236.934096,-148.530344,90,bottom
D25,D_Small,D_SOD-123,255.984096,-148.530344,90,bottom
D26,D_Small,D_SOD-123,275.034096,-148.530344,90,bottom
D27,D_Small,D_SOD-123,294.084096,-148.530344,90,bottom
D28,D_Small,D_SOD-123,313.134096,-148.530344,90,bottom
D29,D_Small,D_SOD-123,332.184096,-148.530344,90,bottom
D30,D_Small,D_SOD-123,360.759072,-148.530344,90,bottom
D31,D_Small,D_SOD-123,394.096572,-148.530344,90,bottom
D32,D_Small,D_SOD-123,413.146572,-148.530344,90,bottom
D33,D_Small,D_SOD-123,432.196572,-148.530344,90,bottom
D34,D_Small,D_SOD-123,456.009072,-148.530344,90,bottom
D35,D_Small,D_SOD-123,475.059072,-148.530344,90,bottom
D36,D_Small,D_SOD-123,494.109072,-148.530344,90,bottom
D37,D_Small,D_SOD-123,513.159072,-148.530344,90,bottom
D38,D_Small,D_SOD-123,108.346784,-167.580328,90,bottom
D39,D_Small,D_SOD-123,132.159284,-167.580328,90,bottom
D40,D_Small,D_SOD-123,151.209284,-167.580328,90,bottom
D41,D_Small,D_SOD-123,170.259284,-167.580328,90,bottom
D42,D_Small,D_SOD-123,189.309284,-167.580328,90,bottom
D43,D_Small,D_SOD-123,208.359284,-167.580328,90,bottom
D44,D_Small,D_SOD-123,227.409284,-167.580328,90,bottom
D45,D_Small,D_SOD-123,246.459284,-167.580328,90,bottom
D46,D_Small,D_SOD-123,265.509284,-167.580328,90,bottom
D47,D_Small,D_SOD-123,284.559284,-167.580328,90,bottom
D48,D_Small,D_SOD-123,303.609284,-167.580328,90,bottom
D49,D_Small,D_SOD-123,322.659284,-167.580328,90,bottom
D50,D_Small,D_SOD-123,341.709284,-167.580328,90,bottom
D51,D_Small,D_SOD-123,367.902816,-177.10532,90,bottom
D52,D_Small,D_SOD-123,394.096544,-167.580328,90,bottom
D53,D_Small,D_SOD-123,413.146544,-167.580328,90,bottom
D54,D_Small,D_SOD-123,432.196544,-167.580328,90,bottom
D55,D_Small,D_SOD-123,456.009044,-167.580328,90,bottom
D56,D_Small,D_SOD-123,475.059044,-167.580328,90,bottom
D57,D_Small,D_SOD-123,494.109044,-167.580328,90,bottom
D58,D_Small,D_SOD-123,513.158944,-177.10532,90,bottom
D59,D_Small,D_SOD-123,110.727834,-186.630312,90,bottom
D60,D_Small,D_SOD-123,136.921584,-186.630312,90,bottom
D61,D_Small,D_SOD-123,155.971584,-186.630312,90,bottom
D62,D_Small,D_SOD-123,175.021584,-186.630312,90,bottom
D63,D_Small,D_SOD-123,194.071584,-186.630312,90,bottom
D64,D_Small,D_SOD-123,213.121584,-186.630312,90,bottom
D65,D_Small,D_SOD-123,232.171584,-186.630312,90,bottom
D66,D_Small,D_SOD-123,251.221584,-186.630312,90,bottom
D67,D_Small,D_SOD-123,270.271584,-186.630312,90,bottom
D68,D_Small,D_SOD-123,289.321584,-186.630312,90,bottom
D69,D_Small,D_SOD-123,308.371584,-186.630312,90,bottom
D70,D_Small,D_SOD-123,327.421584,-186.630312,90,bottom
D71,D_Small,D_SOD-123,346.471584,-186.630312,90,bottom
D72,D_Small,D_SOD-123,456.00896,-186.630312,90,bottom
D73,D_Small,D_SOD-123,475.05896,-186.630312,90,bottom
D74,D_Small,D_SOD-123,494.10896,-186.630312,90,bottom
D75,D_Small,D_SOD-123,105.965328,-205.680296,90,bottom
D76,D_Small,D_SOD-123,127.396578,-205.680296,90,bottom
D77,D_Small,D_SOD-123,146.446578,-205.680296,90,bottom
D78,D_Small,D_SOD-123,165.496578,-205.680296,90,bottom
D79,D_Small,D_SOD-123,184.546578,-205.680296,90,bottom
D80,D_Small,D_SOD-123,203.596578,-205.680296,90,bottom
